1223	DOW Statewd
1224	DOW Aqtcs E
2349	DOW NE
2351	DOW Area 1
2352	DOW Area 3
2353	DOW Area 2
2354	DOW Area 4
2355	DOW Area 5
2356	DOW Area 14
2697	DOW Area 11
2698	DOW Area 12
2699	DOW Area 13
2700	DOW SE
2741	DOW Invstgtn
8122	DOW NW
8123	DOW Area 6
8124	DOW Area 7
8125	DOW Area 8
8126	DOW Area 9
8127	DOW Area 10
8128	DOW Area 15
8129	DOW Area 16
8130	DOW Area 17
8131	DOW Area 18
8132	DOW SW
8368	DOW Aqtcs W
8374	DOW SW Tac
8963	DOW A18 Tac
10201	DOW A16 Tac
12000	DOW A15 Tac
1230	USFS Statewide
1231	USFS NE
1232	USFS SE
8375	USFS NW
8376	USFS SW
